,Text,Polarity
0,aladdin risk his life only for princess jasmine jafar,0
1,yesung the rd mini album pinkmagic melon,0
2,thank you for showing me a whole new world of movie i wanna see aladdin again and again,1
3,bts boy with luv mv feat halsey kst melon flo genie bugs mnet sori,0
4,when aladdin said sometimes you just have to take a risk i did that,1
5,will smith,0
6,bts music chart boywithluv b melon flo olleh genie,0
7,aladdin prince ali song comparison which is better disney hd youtube,1
8,check out what i just added to my closet on poshmark simon chang colorful tropical genie style jumpsuit,0
9,jordan as a jewel of hollywood visitjordan shareyourjordan aladdin disney,0
10,you do not need a genie to get stuff at the lowest prices visit the app for the best deals youwinwithjumia ht,0
11,bts boy with luv mv feat halsey kst flo melon genie soribada bugs m,0
12,aladdin risk his life only for princess jasmine jafar,0
13,yesung pinkmagic debuted at on genie congrats yeye,0
14,a whole new world a dazzling place i never knew and woah that cutie genie,1
15,youngk wanted to sing aladdin a whole new world with a girl who owns a clear voice and here he did,1
16,smiling because aladdin is the number movie in the uk for the th weekend in a row thanks so much for all your support,1
17,aladdin was amazing in case anyone was wondering,1
18,yesung the rd mini album pinkmagic melon,0
19,aladdin risk his life only for princess jasmine jafar,0
20,smiling because aladdin is the number movie in the uk for the th weekend in a row thanks so much for all your support,1
21,army fighting c c gi i ti p theo ch ng ta p vote teen choice music awards m x genie music awards soribada b,0
22,n flying rooftop has surpassed million streams on genie,0
23,make way here he comes ring bells bang the drums you are gonna love this guy aladdin is coming to colne we are,0
24,one of the most inspirational father amp son scenes from will smith and jaden smith,1
26,yesung the rd mini album pinkmagic melon,0
27,yesung the rd mini album pinkmagic melon,0
29,smiling because aladdin is the number movie in the uk for the th weekend in a row thanks so much for all your support,1
30,yesung the rd mini album pinkmagic melon,0
31,jack sparrow ft thugs of hindostan wala amir ft night king vs aladdin best of all the worlds,0
32,when aladdin said sometimes you just have to take a risk i did that,0
33,smiling because aladdin is the number movie in the uk for the th weekend in a row thanks so much for all your support,1
34,aladdin arabian nights intro will smith version,0
35,judal gets his hair caught just as aladdin comes along reading a book called kama sutra chaos ensues,0
37,aladdin risk his life only for princess jasmine jafar,0
38,anyway i was listening to the soundtrack of aladdin,0
39,john wick godzilla aladdin brightburn dark pheonix mib,0
40,how a dystopian will smith movie was turned into a real life nightmare wuwei today best news daily feed,-1
41,i call this the i m in charge approach highly recommend it when you don t know how to approach your crush aladdin htt,1
43,someone asking genie what a capricorn selfie it the essence of any mirror selfie i ve ever taken thank u next,0
44,one of the most inspirational father amp son scenes from will smith and jaden smith,1
45,me trying to agree with people who say something other than spring snow is the best bside in genie us,0
46,yesung the rd mini album pinkmagic melon,0
50,yesung the rd mini album pinkmagic melon,0
51,aladdin risk his life only for princess jasmine jafar,0
53,yesung the rd mini album pinkmagic melon,0
56,bts boy with luv mv feat halsey kst flo melon genie soribada bugs m,0
57,smiling because aladdin is the number movie in the uk for the th weekend in a row thanks so much for all your support,1
58,aladdin a whole new world mother son duet via sedapp gilosssss tapi sebak pastu nangess,0
60,n flying rooftop has surpassed million streams on genie,0
61,i saw godzilla and aladdin this weekend and thought both were excellent,1
62,aladdin risk his life only for princess jasmine jafar,0
63,will smith as will smith,0
64,yesung the rd mini album pinkmagic melon,0
65,yesung the rd mini album pinkmagic melon,0
66,yesung the rd mini album pinkmagic melon,0
67,yesung the rd mini album pinkmagic melon,0
68,yesung the rd mini album pinkmagic melon,0
69,lay honey melon music,0
71,marc anthony will smith bad bunny est rico official video,0
73,bts music chart boywithluv b melon flo olleh genie,0
74,we think it time for will smith to make his way back to the main roster thisisdodgersnation lableedsblue dodgers,0
77,aladdin who i m stealing all the things this season of,1
78,smiling because aladdin is the number movie in the uk for the th weekend in a row thanks so much for all your support,1
79,and nothing more aladdin,0
80,yesung the rd mini album pinkmagic melon,0
83,will smith,0
84,aladdin risk his life only for princess jasmine jafar,0
85,army reminders upcoming possible voting awards shows teen choice music awards m x genie music awards sor,0
86,why does it look like naomi is asking if she can hold mena hand and he is like of course lol aladdin,0
87,a whole new world ost aladdin dangdut version via,0
91,never forget that will smith gave us switch,0
94,when aladdin said sometimes you just have to take a risk i did that,0
95,aladdin sama greatest showman,0
101,smiling because aladdin is the number movie in the uk for the th weekend in a row thanks so much for all your support,1
102,yesung the rd mini album pinkmagic melon,0
103,this dance sequence in aladdin is the bomb,1
104,yesung the rd mini album pinkmagic melon,0
105,aladdin risk his life only for princess jasmine jafar,0
107,smiling because aladdin is the number movie in the uk for the th weekend in a row thanks so much for all your support,1
109,bambi hercules aladdin drawing draw art sketch illustration disney,0
111,if you don t have anything you have to act like you own everything disney aladdin is now playing in theaters g,0
112,kst loveshot melon rd genie th exo,0
113,yesung the rd mini album pinkmagic melon,0
114,you will feel it calling in the air tonight versprochen genesis genie und easy lover phil collins begl ckt he,0
115,when aladdin said sometimes you just have to take a risk i did that,0
117,bogo free genie jinn aladdin disney magical oil lamp modern cross stitch pattern decor diy pdf pattern instant dow,0
118,when aladdin said sometimes you just have to take a risk i did that,0
119,bogo free genie jinn aladdin princess jasmine disney magical oil lamp modern cross stitch decor diy pdf pattern in,0
121,bts boy with luv mv feat halsey kst flo melon genie soribada bugs m,0
122,i m here to announce i m finally goin to watch aladdin,1
123,a whole new world ost aladdin dangdut version via,0
124,i wasn t entirely convinced that mena massoud was the best choice to play aladdin update after watching the film h,-1
125,yesung the rd mini album pinkmagic melon,0
126,yesung the rd mini album pinkmagic melon,0
127,yesung the rd mini album pinkmagic melon,0
128,genie radio play this song feat fingazz francis,0
129,yesung the rd mini album pinkmagic melon,0
130,yesung the rd mini album pinkmagic melon,0
132,yesung the rd mini album pinkmagic melon,0
133,smiling because aladdin is the number movie in the uk for the th weekend in a row thanks so much for all your support,1
134,can people be less like elon musk and more like will smith please,1
135,bts music chart boywithluv b flo melon olleh genie mnet,0
137,smiling because aladdin is the number movie in the uk for the th weekend in a row thanks so much for all your support,1
138,i do not think will smith ever made rap like that lol,0
139,army fighting c c gi i ti p theo ch ng ta p vote teen choice music awards m x genie music awards soribada b,0
140,yesung the rd mini album pinkmagic melon,0
141,smiling because aladdin is the number movie in the uk for the th weekend in a row thanks so much for all your support,1
142,the day after i meet a genie boss hey team you can all leave five minutes early today me loudly oh wow so wei,0
144,aladdin a whole new world cover by moose,0
145,aladdin titanic fifty shades of grey,0
146,yesung the rd mini album pinkmagic melon,0
147,a whole new world bigbang aladdin,0
148,one of the most inspirational father amp son scenes from will smith and jaden smith,1
149,naomi would always check in with me and be like you realize you are playing aladdin right love her for being his h,1
150,one of the most inspirational father amp son scenes from will smith and jaden smith,1
151,kst loveshot melon th genie th exo,0
152,aladdin risk his life only for princess jasmine jafar,0
154,kst loveshot melon st genie th exo,0
155,smiling because aladdin is the number movie in the uk for the th weekend in a row thanks so much for all your support,1
156,bts music chart boywithluv b flo melon olleh genie mnet,0
158,bts boy with luv mv feat halsey kst flo melon genie soribada bugs m,0
160,yesung the rd mini album pinkmagic melon,0
161,smiling because aladdin is the number movie in the uk for the th weekend in a row thanks so much for all your support,1
162,mena kissing naomi forehead is so pure aladdin,1
163,people live action aladdin was awkward as heck by the second half of the movie original aladdin was smoother m,-1
167,yesung the rd mini album pinkmagic melon,0
168,bts music chart boywithluv b melon flo olleh genie,0
169,when aladdin said sometimes you just have to take a risk i did that,0
170,yesung the rd mini album pinkmagic melon,0
171,yesung the rd mini album pinkmagic melon,0
173,the aladdin ad behind the screen was just a coincidence but me being a drama queen that i am is crying in ziam rn,0
174,aladdin risk his life only for princess jasmine jafar,0
175,may genie snsd november breeze may cherrybullet reallylikecherrybullet,0
177,why him because it is like duuuuh aladdin,1
178,aladdin risk his life only for princess jasmine jafar,0
179,bts boy with luv mv feat halsey kst flo melon genie soribada bugs m,0
181,yesung the rd mini album pinkmagic melon,0
182,wild things how a dystopian will smith movie was turned into a real life nightmare,-1
183,a whole new world ost aladdin dangdut version via,0
184,when aladdin said sometimes you just have to take a risk i did that,0
185,one of the most inspirational father amp son scenes from will smith and jaden smith,1
186,yesung the rd mini album pinkmagic melon,0
187,one of the most inspirational father amp son scenes from will smith and jaden smith,1
188,when aladdin said sometimes you just have to take a risk i did that,0
189,yesung the rd mini album pinkmagic melon,0
190,nowplaying gettin jiggy wit it by will smith listen now at,0
191,i may have cried during speechless aladdin,1
194,bts boy with luv mv feat halsey kst flo melon genie soribada bugs m,0
195,one of the most inspirational father amp son scenes from will smith and jaden smith,1
196,one of the most inspirational father amp son scenes from will smith and jaden smith,1
197,bts boy with luv mv feat halsey kst flo melon genie soribada bugs m,0
198,aladdin risk his life only for princess jasmine jafar,0
199,just saw it yesterday and really liked it will smith made the genie his own without tarnishing the m,1
204,what is your wish the genie asked can you make me immortal no but i can give you the ability to stop and start aging,0
205,that a wrap badboysforlife will smith,0
208,me i wish i had a tv camera i can look at in opportune moments genie um ok me i wish everyone was gullible genie do,0
209,bts music chart boywithluv b melon flo olleh genie,0
210,smiling because aladdin is the number movie in the uk for the th weekend in a row thanks so much for all your support,1
211,smiling because aladdin is the number movie in the uk for the th weekend in a row thanks so much for all your support,1
212,smiling because aladdin is the number movie in the uk for the th weekend in a row thanks so much for all your support,1
213,aladdin really is that movie,0
214,yesung the rd mini album pinkmagic melon,0
215,yesung the rd mini album pinkmagic melon,0
216,bts boy with luv mv feat halsey kst flo melon genie soribada bugs m,0
217,when aladdin said sometimes you just have to take a risk i did that,0
219,smiling because aladdin is the number movie in the uk for the th weekend in a row thanks so much for all your support,1
220,tr aladdin nieladdin when i saw aladdin i thought the lead dance would have suited daniel well seriously,0
222,i know someone already made art for it but im rlly in a mood for jondami aladdin au,0
223,army reminders upcoming possible voting awards shows teen choice music awards m x genie music awards sor,0
224,one of the most inspirational father amp son scenes from will smith and jaden smith,1
225,when aladdin said sometimes you just have to take a risk i did that,0
226,army fighting c c gi i ti p theo ch ng ta p vote teen choice music awards m x genie music awards soribada b,0
227,he not taking over for will smith,0
228,army reminders upcoming possible voting awards shows teen choice music awards m x genie music awards sor,0
229,can the red sox trade for will smith please,0
230,nowplaying gettin jiggy wit it by will smith listen now at,0
231,yesung the rd mini album pinkmagic melon,0
233,when aladdin said sometimes you just have to take a risk i did that,0
235,one of the most inspirational father amp son scenes from will smith and jaden smith,1
236,smiling because aladdin is the number movie in the uk for the th weekend in a row thanks so much for all your support,1
237,ashleyo on a roll kst bugs mnet genie melon soribada flo,0
238,army reminders upcoming possible voting awards shows teen choice music awards m x genie music awards sor,0
239,bts boy with luv mv feat halsey kst flo melon genie soribada bugs m,0
240,bts music chart boywithluv b melon flo olleh genie,0
241,yesung name is trending on melon and genie search superjunior pinkmagic,0
243,a whole new world end title from aladdin from aladdin,0
244,bts music chart boywithluv b melon flo olleh genie,0
245,we just saw aladdin for the second time and i loved it just as much as watching it the first time,1
246,who voiced the carpet in aladdin,0
248,yesung the rd mini album pinkmagic melon,0
249,bts boy with luv mv feat halsey kst flo melon genie soribada bugs m,0
250,a whole new world ost aladdin dangdut version via,0
251,yesung the rd mini album pinkmagic melon,0
252,one of the most inspirational father amp son scenes from will smith and jaden smith,1
253,yesung the rd mini album pinkmagic melon,0
254,bts boy with luv mv feat halsey kst flo melon genie soribada bugs m,0
255,aladdin risk his life only for princess jasmine jafar,0
256,a whole new world ost aladdin dangdut version via,0
257,yesung the rd mini album pinkmagic melon,0
258,aladdin was actually pretty good,1
259,smiling because aladdin is the number movie in the uk for the th weekend in a row thanks so much for all your support,1
260,maybe i did not fail my spanish oral exam i am going to see aladdin for the rd time and there another pro tour i,0
261,yesung the rd mini album pinkmagic melon,0
262,when aladdin said sometimes you just have to take a risk i did that,0
263,bts boy with luv mv feat halsey kst flo melon genie soribada bugs m,0
264,smiling because aladdin is the number movie in the uk for the th weekend in a row thanks so much for all your support,1
267,yesung the rd mini album pinkmagic melon,0
268,bts boy with luv mv feat halsey kst flo melon genie soribada bugs m,0
269,smiling because aladdin is the number movie in the uk for the th weekend in a row thanks so much for all your support,1
270,smiling because aladdin is the number movie in the uk for the th weekend in a row thanks so much for all your support,1
271,yesung the rd mini album pinkmagic melon,0
274,this week i am doing things that make me happy saw aladdin in theatres going to sewing and dressmaking classes the,1
278,aladdin risk his life only for princess jasmine jafar,0
281,where will smith or biggy or tupac or swv or boys ii men or new edition or bobby brown omg there is so much more,0
282,when aladdin said sometimes you just have to take a risk i did that,0
284,when aladdin said sometimes you just have to take a risk i did that,0
287,a whole new world ost aladdin dangdut version via,0
288,the song speechless from the movie aladdin could have been the perfect solo number for tina cohen chang if glee w,1
290,this week i am doing things that make me happy saw aladdin in theatres going to sewing and dressmaking classes then sa,1
293,a bunch of movie reviews going up this week john wick i got u bby dark phoenix alrighty then aladdin heck ye,0
294,aladdin risk his life only for princess jasmine jafar,0
295,one of the most inspirational father amp son scenes from will smith and jaden smith,1
296,lay honey melon music,0
297,aladdin and jasmine tryna get abu back,0
298,will smith,0
299,yesung the rd mini album pinkmagic melon,0
301,one of the most inspirational father amp son scenes from will smith and jaden smith,1
302,the one thing stopping me from watching alaadin is actually the genie although i got nothing against will smith,-1
303,when aladdin said sometimes you just have to take a risk i did that,0
304,answer to are increased troops in the middle east a sure sign we are headed for war with iran by will smith,0
311,still massively in love with the maccosmeticsaustralia aladdin collection and the movie as well a lot of the son,0
315,smiling because aladdin is the number movie in the uk for the th weekend in a row thanks so much for all your support,0
321,one of the most inspirational father amp son scenes from will smith and jaden smith,1
322,this live action aladdin is basically hitch disney edition,0
323,yesung the rd mini album pinkmagic melon,0
324,smiling because aladdin is the number movie in the uk for the th weekend in a row thanks so much for all your support,1
327,oh yeah they are coming hard but the genie has escaped it will be,0
330,smiling because aladdin is the number movie in the uk for the th weekend in a row thanks so much for all your support,1
331,aladdin risk his life only for princess jasmine jafar,0
335,aladdin risk his life only for princess jasmine jafar,0
337,smiling because aladdin is the number movie in the uk for the th weekend in a row thanks so much for all your support,1
340,nice aladdin whoa,1
342,will smith is for knocking down save opportunities and none came tougher than this he closes out tyler beede first,1
343,smiling because aladdin is the number movie in the uk for the th weekend in a row thanks so much for all your support,1
348,when aladdin said sometimes you just have to take a risk i did that,1
349,i already saw aladdin but i wanna see it again bc i just loved every second of it,1
353,smiling because aladdin is the number movie in the uk for the th weekend in a row thanks so much for all your support,1
